epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,652.142,1.5858,2.16023,1.43647,0.56281,0.62227,0.58638,0.30758,1.59388,1.72298,1.47543,0.0099896,0.00332987,0.0099896,0.00332987,0.0099896,0.00332987,0.0099896,0.00332987
2,1276.15,1.51703,1.35898,1.34758,0.5851,0.61116,0.58227,0.31685,1.59169,1.86626,1.43634,0.0195938,0.00653127,0.0195938,0.00653127,0.0195938,0.00653127,0.0195938,0.00653127
3,1871.29,1.57963,1.45724,1.3754,0.58277,0.51473,0.48056,0.23415,1.74324,2.55856,1.58693,0.028802,0.00960067,0.028802,0.00960067,0.028802,0.00960067,0.028802,0.00960067
4,2465.27,1.59999,1.50138,1.40064,0.65196,0.57781,0.57439,0.30797,1.63052,2.01981,1.50239,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3060.48,1.54719,1.3731,1.3665,0.60211,0.65229,0.63727,0.35052,1.54489,1.63156,1.43075,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3655.54,1.50039,1.28848,1.33576,0.62748,0.68268,0.662,0.37685,1.48236,1.61182,1.38246,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4249,1.47302,1.23346,1.31578,0.64735,0.71376,0.68787,0.40049,1.45803,1.38797,1.34857,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4847.14,1.451,1.19544,1.30031,0.72661,0.71366,0.70265,0.41227,1.43726,1.32861,1.34245,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5443.79,1.43013,1.15923,1.2845,0.66625,0.73308,0.71175,0.41145,1.434,1.42769,1.32969,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6042.24,1.41158,1.13064,1.27434,0.72194,0.72486,0.71696,0.42571,1.41838,1.33583,1.32127,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6642.8,1.40087,1.11108,1.26632,0.70932,0.74091,0.73295,0.44273,1.39139,1.23456,1.29262,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7241.76,1.38952,1.08714,1.259,0.67781,0.76732,0.74018,0.45163,1.37386,1.17927,1.28896,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,7839.62,1.37488,1.0699,1.24882,0.68236,0.76626,0.74446,0.45942,1.35724,1.10449,1.27092,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8432.84,1.36443,1.04767,1.2411,0.70673,0.75758,0.74892,0.46154,1.35098,1.17994,1.26675,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,9028.96,1.35077,1.03547,1.23259,0.67004,0.75839,0.74731,0.46275,1.34406,1.08677,1.26055,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,9632.42,1.34658,1.0241,1.22887,0.69266,0.76985,0.75245,0.47121,1.32824,1.05326,1.24795,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,10233.1,1.34018,1.01056,1.22611,0.68428,0.77875,0.75763,0.47566,1.31786,1.04993,1.24065,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,10833.6,1.33028,0.99238,1.21645,0.69464,0.80645,0.76515,0.48306,1.31316,1.07688,1.23487,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,11440.4,1.32628,0.9899,1.21801,0.69531,0.80677,0.76815,0.48657,1.30713,1.058,1.23083,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,12048.2,1.30854,0.97268,1.20654,0.69773,0.81704,0.7657,0.4866,1.29767,1.06255,1.22374,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,12656.6,1.31172,0.9615,1.20487,0.68242,0.8156,0.76921,0.49061,1.29485,1.03403,1.22027,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,13264.2,1.30709,0.95192,1.20309,0.68919,0.82048,0.77255,0.49624,1.28827,0.99374,1.21731,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,13865.4,1.29483,0.94861,1.19762,0.69288,0.82174,0.77033,0.49555,1.28305,0.97683,1.21212,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,14467.4,1.29435,0.93508,1.19342,0.69193,0.82568,0.7738,0.49807,1.27893,0.98745,1.20833,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,15068.3,1.27978,0.92116,1.18522,0.68964,0.83319,0.77281,0.49747,1.2731,0.98895,1.20375,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,15670.7,1.27711,0.91156,1.18586,0.6961,0.83122,0.77442,0.50041,1.27017,1.01358,1.2031,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,16271,1.26603,0.90412,1.1809,0.70122,0.82471,0.77533,0.50165,1.26911,1.01454,1.20209,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,16863.9,1.26613,0.89597,1.17445,0.6979,0.82666,0.77509,0.5022,1.26563,1.00336,1.19866,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,17457.7,1.25701,0.88722,1.17136,0.69874,0.83235,0.77741,0.50387,1.26313,0.99801,1.19629,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,18054.4,1.25649,0.88834,1.16939,0.69866,0.83164,0.77837,0.50502,1.26056,0.98687,1.1937,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,18654.6,1.25153,0.86977,1.16807,0.70397,0.83158,0.77892,0.50546,1.25956,0.96472,1.19365,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,19249.7,1.2374,0.86353,1.15835,0.70248,0.83236,0.77872,0.50554,1.25884,0.94546,1.19332,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,19844.8,1.23631,0.86098,1.16229,0.69961,0.83444,0.7779,0.5048,1.25829,0.92894,1.19342,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,20437.5,1.22527,0.8458,1.15376,0.70148,0.83423,0.77804,0.50556,1.25733,0.91494,1.19254,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,21039.1,1.22124,0.84169,1.15218,0.70273,0.83388,0.77806,0.50584,1.25628,0.91103,1.19137,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
